state,state_abbreviation,minimum_wage,tipped_wage
Alabama,AL,7.25,2.13
Alaska,AK,11.73,11.73
Arizona,AZ,14.35,11.35
Arkansas,AR,11.0,2.63
California,CA,16.0,16.0
Colorado,CO,14.42,11.4
Connecticut,CT,15.69,6.38
Delaware,DE,13.25,2.23
District of Columbia,DC,17.0,8.0
Florida,FL,12.0,8.98
Georgia,GA,7.25,2.13
Hawaii,HI,14.0,12.75
Idaho,ID,7.25,3.35
Illinois,IL,14.0,8.4
Indiana,IN,7.25,2.13
Iowa,IA,7.25,4.35
Kansas,KS,7.25,2.13
Kentucky,KY,7.25,2.13
Louisiana,LA,7.25,2.13
Maine,ME,14.15,7.08
Maryland,MD,15.0,3.63
Massachusetts,MA,15.0,6.75
Michigan,MI,10.33,3.93
Minnesota,MN,10.85,10.85
Mississippi,MS,7.25,2.13
Missouri,MO,12.3,6.15
Montana,MT,9.95,9.95
Nebraska,NE,12.0,2.13
Nevada,NV,11.25,11.25
New Hampshire,NH,7.25,3.27
New Jersey,NJ,15.13,5.26
New Mexico,NM,12.0,3.0
New York,NY,15.0,10.0
North Carolina,NC,7.25,2.13
North Dakota,ND,7.25,4.86
Ohio,OH,10.45,5.25
Oklahoma,OK,7.25,2.13
Oregon,OR,14.2,14.2
Pennsylvania,PA,7.25,2.83
Puerto Rico,PR,9.5,2.13
Rhode Island,RI,14.0,3.89
South Carolina,SC,7.25,2.13
South Dakota,SD,11.2,5.6
Tennessee,TN,7.25,2.13
Texas,TX,7.25,2.13
Utah,UT,7.25,2.13
Vermont,VT,13.67,6.84
Virginia,VA,12.0,2.13
Washington,WA,16.28,16.28
West Virginia,WV,8.75,2.62
Wisconsin,WI,7.25,2.33
Wyoming,WY,7.25,2.13
